uri	permissions	permissionFlag
/afs/api/vehicleModel/list-short	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,ADMIN"	TRUE
/afs/api/vehicleModel/name	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,ADMIN"	TRUE
/afs/api/dealerIndex/sparePermeability	MANAGER	TRUE
/afs/api/coupon/create	"ADMIN,BUSINESS-MANAGER,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/coupon/query	"ADMIN,BUSINESS-MANAGER,VENDORCOUPON,DEALERCOUPON,GROUPCOUPON"	TRUE
/afs/api/coupon/detail	"ADMIN,BUSINESS-MANAGER,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/coupon/export	"ADMIN,BUSINESS-MANAGER,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/coupon/status	"lQAbSHEbnSzGdzJ9,sPciSSjKIGlCUDfQXQpSl193ySNpIRApqNUvHpVmI1C7lVvrrU3XPvCP0SmenXZz"	TRUE
/afs/api/customer/info/uploadedCustomer	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,ADMIN,DEALERCOUPON,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/invoice/order/dealer/chart	"MANAGER,ADMIN,REGION-MANAGER,DATA-MANAGER"	TRUE
/afs/api/marketingActivity/getActivityIDAndName	"MANAGER,ADMIN"	TRUE
/afs/api/coupon/getCouponIDAndName	"ADMIN,MANAGER"	TRUE
/afs/api/dealerIndex/queryDealerCustomerStatistics	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,ADMIN,partsmanager"	TRUE
/afs/api/anxinreport/ivw/getEaseDailyReportUrl	"557a4e364e505344685773494854762f422f5a5a746b754e7438553d,3352407a7221703d79484c6e31413221393d6e44406b2d246130312461722424"	TRUE
/afs/api/ivw/accessVerify	"557a4e364e505344685773494854762f422f5a5a746b754e7438553d,3352407a7221703d79484c6e31413221393d6e44406b2d246130312461722424"	TRUE
